(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;WordNumber;WordCoordinatesDWTK;Found in Word in Text;LetterPositionIndex In Word;WordNumberInVerse;Found In Verse
(122836, -73, 4);30;ל;50;(1, 1, 2, 22, 50);13;(1, 1, 2, 6, 13);על;2;6;והארץ היתה תהו ובהו וחשך על פני תהום ורוח אלהים מרחפת על פני המים
(122836, -73, 4);2;ב;123;(1, 1, 4, 20, 123);33;(1, 1, 4, 6, 33);טוב;3;6;וירא אלהים את האור כי טוב ויבדל אלהים בין האור ובין החשך
(122836, -73, 4);8;ח;196;(1, 1, 5, 48, 196);52;(1, 1, 5, 13, 52);אחד;2;13;ויקרא אלהים לאור יום ולחשך קרא לילה ויהי ערב ויהי בקר יום אחד
(122836, -73, 4);40;ם;269;(1, 1, 7, 28, 269);70;(1, 1, 7, 7, 70);המים;4;7;ויעש אלהים את הרקיע ויבדל בין המים אשר מתחת לרקיע ובין המים אשר מעל לרקיע ויהי כן
(122836, -73, 4);40;ם;342;(1, 1, 8, 36, 342);89;(1, 1, 8, 9, 89);יום;3;9;ויקרא אלהים לרקיע שמים ויהי ערב ויהי בקר יום שני
(122836, -73, 4);90;ץ;415;(1, 1, 10, 18, 415);107;(1, 1, 10, 4, 107);ארץ;3;4;ויקרא אלהים ליבשה ארץ ולמקוה המים קרא ימים וירא אלהים כי טוב
(122836, -73, 4);200;ר;488;(1, 1, 11, 42, 488);127;(1, 1, 11, 12, 127);פרי;2;12;ויאמר אלהים תדשא הארץ דשא עשב מזריע זרע עץ פרי עשה פרי למינו אשר זרעו בו על הארץ ויהי כן
(122836, -73, 4);2;ב;561;(1, 1, 12, 46, 561);148;(1, 1, 12, 13, 148);בו;1;13;ותוצא הארץ דשא עשב מזריע זרע למינהו ועץ עשה פרי אשר זרעו בו למינהו וירא אלהים כי טוב
(122836, -73, 4);2;ב;634;(1, 1, 14, 30, 634);166;(1, 1, 14, 7, 166);להבדיל;3;7;ויאמר אלהים יהי מארת ברקיע השמים להבדיל בין היום ובין הלילה והיו לאתת ולמועדים ולימים ושנים
(122836, -73, 4);30;ל;707;(1, 1, 15, 27, 707);181;(1, 1, 15, 6, 181);על;2;6;והיו למאורת ברקיע השמים להאיר על הארץ ויהי כן
(122836, -73, 4);30;ל;780;(1, 1, 16, 63, 780);199;(1, 1, 16, 15, 199);לממשלת;5;15;ויעש אלהים את שני המארת הגדלים את המאור הגדל לממשלת היום ואת המאור הקטן לממשלת הלילה ואת הכוכבים
(122836, -73, 4);10;י;853;(1, 1, 18, 24, 853);215;(1, 1, 18, 5, 215);בין;2;5;ולמשל ביום ובלילה ולהבדיל בין האור ובין החשך וירא אלהים כי טוב
(122836, -73, 4);80;פ;926;(1, 1, 20, 24, 926);234;(1, 1, 20, 6, 234);נפש;2;6;ויאמר אלהים ישרצו המים שרץ נפש חיה ועוף יעופף על הארץ על פני רקיע השמים
(122836, -73, 4);300;ש;999;(1, 1, 21, 40, 999);253;(1, 1, 21, 10, 253);הרמשת;4;10;ויברא אלהים את התנינם הגדלים ואת כל נפש החיה הרמשת אשר שרצו המים למינהם ואת כל עוף כנף למינהו וירא אלהים כי טוב
(122836, -73, 4);6;ו;1072;(1, 1, 22, 24, 1072);272;(1, 1, 22, 6, 272);ורבו;4;6;ויברך אתם אלהים לאמר פרו ורבו ומלאו את המים בימים והעוף ירב בארץ
(122836, -73, 4);10;י;1145;(1, 1, 24, 23, 1145);291;(1, 1, 24, 6, 291);חיה;2;6;ויאמר אלהים תוצא הארץ נפש חיה למינה בהמה ורמש וחיתו ארץ למינה ויהי כן
(122836, -73, 4);20;כ;1218;(1, 1, 25, 40, 1218);310;(1, 1, 25, 11, 310);כל;1;11;ויעש אלהים את חית הארץ למינה ואת הבהמה למינה ואת כל רמש האדמה למינהו וירא אלהים כי טוב
(122836, -73, 4);2;ב;1291;(1, 1, 26, 44, 1291);327;(1, 1, 26, 10, 327);ובעוף;2;10;ויאמר אלהים נעשה אדם בצלמנו כדמותנו וירדו בדגת הים ובעוף השמים ובבהמה ובכל הארץ ובכל הרמש הרמש על הארץ
(122836, -73, 4);1;א;1364;(1, 1, 27, 33, 1364);344;(1, 1, 27, 8, 344);ברא;3;8;ויברא אלהים את האדם בצלמו בצלם אלהים ברא אתו זכר ונקבה ברא אתם
(122836, -73, 4);3;ג;1437;(1, 1, 28, 56, 1437);363;(1, 1, 28, 14, 363);בדגת;3;14;ויברך אתם אלהים ויאמר להם אלהים פרו ורבו ומלאו את הארץ וכבשה ורדו בדגת הים ובעוף השמים ובכל חיה הרמשת על הארץ
(122836, -73, 4);10;י;1510;(1, 1, 29, 41, 1510);384;(1, 1, 29, 13, 384);פני;3;13;ויאמר אלהים הנה נתתי לכם את כל עשב זרע זרע אשר על פני כל הארץ ואת כל העץ אשר בו פרי עץ זרע זרע לכם יהיה לאכלה
(122836, -73, 4);300;ש;1583;(1, 1, 30, 31, 1583);406;(1, 1, 30, 8, 406);רומש;4;8;ולכל חית הארץ ולכל עוף השמים ולכל רומש על הארץ אשר בו נפש חיה את כל ירק עשב לאכלה ויהי כן
(122836, -73, 4);200;ר;1656;(1, 1, 31, 35, 1656);430;(1, 1, 31, 11, 430);ערב;2;11;וירא אלהים את כל אשר עשה והנה טוב מאד ויהי ערב ויהי בקר יום הששי
(122836, -73, 4);400;ת;1729;(1, 2, 2, 36, 1729);447;(1, 2, 2, 8, 447);וישבת;5;8;ויכל אלהים ביום השביעי מלאכתו אשר עשה וישבת ביום השביעי מכל מלאכתו אשר עשה
(122836, -73, 4);200;ר;1802;(1, 2, 3, 48, 1802);466;(1, 2, 3, 13, 466);אשר;3;13;ויברך אלהים את יום השביעי ויקדש אתו כי בו שבת מכל מלאכתו אשר ברא אלהים לעשות
(122836, -73, 4);5;ה;1875;(1, 2, 5, 10, 1875);483;(1, 2, 5, 3, 483);השדה;4;3;וכל שיח השדה טרם יהיה בארץ וכל עשב השדה טרם יצמח כי לא המטיר יהוה אלהים על הארץ ואדם אין לעבד את האדמה
(122836, -73, 4);4;ד;1948;(1, 2, 6, 3, 1948);504;(1, 2, 6, 1, 504);ואד;3;1;ואד יעלה מן הארץ והשקה את כל פני האדמה
(122836, -73, 4);10;י;2021;(1, 2, 7, 46, 2021);524;(1, 2, 7, 12, 524);חיים;3;12;וייצר יהוה אלהים את האדם עפר מן האדמה ויפח באפיו נשמת חיים ויהי האדם לנפש חיה
(122836, -73, 4);50;ן;2094;(1, 2, 9, 16, 2094);544;(1, 2, 9, 4, 544);מן;2;4;ויצמח יהוה אלהים מן האדמה כל עץ נחמד למראה וטוב למאכל ועץ החיים בתוך הגן ועץ הדעת טוב ורע
(122836, -73, 4);1;א;2167;(1, 2, 10, 18, 2167);564;(1, 2, 10, 5, 564);את;1;5;ונהר יצא מעדן להשקות את הגן ומשם יפרד והיה לארבעה ראשים
(122836, -73, 4);1;א;2240;(1, 2, 12, 6, 2240);584;(1, 2, 12, 2, 584);הארץ;2;2;וזהב הארץ ההוא טוב שם הבדלח ואבן השהם
(122836, -73, 4);4;ד;2313;(1, 2, 14, 15, 2313);604;(1, 2, 14, 4, 604);חדקל;2;4;ושם הנהר השלישי חדקל הוא ההלך קדמת אשור והנהר הרביעי הוא פרת
(122836, -73, 4);300;ש;2386;(1, 2, 15, 39, 2386);622;(1, 2, 15, 10, 622);ולשמרה;3;10;ויקח יהוה אלהים את האדם וינחהו בגן עדן לעבדה ולשמרה
(122836, -73, 4);20;כ;2459;(1, 2, 17, 32, 2459);643;(1, 2, 17, 10, 643);אכלך;2;10;ומעץ הדעת טוב ורע לא תאכל ממנו כי ביום אכלך ממנו מות תמות
(122836, -73, 4);50;ן;2532;(1, 2, 19, 15, 2532);662;(1, 2, 19, 4, 662);מן;2;4;ויצר יהוה אלהים מן האדמה כל חית השדה ואת כל עוף השמים ויבא אל האדם לראות מה יקרא לו וכל אשר יקרא לו האדם נפש חיה הוא שמו
(122836, -73, 4);5;ה;2605;(1, 2, 19, 88, 2605);685;(1, 2, 19, 27, 685);הוא;1;27;ויצר יהוה אלהים מן האדמה כל חית השדה ואת כל עוף השמים ויבא אל האדם לראות מה יקרא לו וכל אשר יקרא לו האדם נפש חיה הוא שמו
(122836, -73, 4);5;ה;2678;(1, 2, 21, 8, 2678);703;(1, 2, 21, 2, 703);יהוה;4;2;ויפל יהוה אלהים תרדמה על האדם ויישן ויקח אחת מצלעתיו ויסגר בשר תחתנה
(122836, -73, 4);8;ח;2751;(1, 2, 22, 25, 2751);721;(1, 2, 22, 7, 721);לקח;3;7;ויבן יהוה אלהים את הצלע אשר לקח מן האדם לאשה ויבאה אל האדם
(122836, -73, 4);100;ק;2824;(1, 2, 23, 52, 2824);741;(1, 2, 23, 14, 741);לקחה;2;14;ויאמר האדם זאת הפעם עצם מעצמי ובשר מבשרי לזאת יקרא אשה כי מאיש לקחה זאת
(122836, -73, 4);6;ו;2897;(1, 2, 25, 25, 2897);760;(1, 2, 25, 5, 760);ואשתו;5;5;ויהיו שניהם ערומים האדם ואשתו ולא יתבששו
(122836, -73, 4);1;א;2970;(1, 3, 1, 64, 2970);781;(1, 3, 1, 19, 781);תאכלו;2;19;והנחש היה ערום מכל חית השדה אשר עשה יהוה אלהים ויאמר אל האשה אף כי אמר אלהים לא תאכלו מכל עץ הגן
(122836, -73, 4);40;מ;3043;(1, 3, 3, 34, 3043);802;(1, 3, 3, 10, 802);ממנו;1;10;ומפרי העץ אשר בתוך הגן אמר אלהים לא תאכלו ממנו ולא תגעו בו פן תמתון
